ICSA (India),ICSA.NS
Kernex Microsystems,KERNEX.NS
R. S.,RSSOFTWARE.NS
California Software,CALSOFT.NS
8K Miles,8KMILES.NS
Subex Limited,SUBEX.NS
Tanla Solutions,TANLA.NS
Vakrangee Limited,VAKRANGEE.NS
K.P.R. Mill,KPRMILL.NS
Kitex Garments,KITEX.NS
Bang Overseas,BANG.NS
Zodiac Clothing,ZODIACLOTH.NS
Aditya Birla,ABFRL.NS
Ashapura Intimates,AIFL.NS
Celebrity Fashions,CELEBRITY.NS
Kewal Kiran,KKCL.NS
Gokaldas Exports,GOKEX.NS
PDS Multinational,PDSMFL.NS
Monte Carlo,MONTECARLO.NS
Indian Terrain,INDTERRAIN.NS
Integra Garments,INTEGRA.NS
Pearl Global,PGIL.NS
Lovable Lingerie,LOVABLE.NS
Lux Industries,LUXIND.NS
Page Industries,PAGEIND.NS
Provogue (India),PROVOGE.NS
Rupa &,RUPA.NS
Thomas Scott,THOMASCOTT.NS
SPL Industries,SPLIL.NS
Sudar Industries,SUDAR.NS
Cantabil Retail,CANTABIL.NS
SEL Manufacturing,SELMCL.NS
Mandhana Industries,MANDHANA.NS
VIP Industries,VIPIND.NS
Banaras Beads,BANARBEADS.NS
Bhartiya International,BIL.NS
Relaxo Footwears,RELAXO.NS
Mirza International,MIRZAINT.NS
Liberty Shoes,LIBERTSHOE.NS
Sreeleathers Limited,SREEL.NS
Superhouse Limited,SUPERHOUSE.NS
Bata India,BATAINDIA.NS
Jindal Cotex,JINDCOT.NS
JBF Industries,JBFIND.NS
Jindal Worldwide,JINDWORLD.NS
Indo Count,ICIL.NS
First Winner,FIRSTWIN.NS
Welspun India,WELSPUNIND.NS
The Rai,RAIREKMOH.NS
Winsome Yarns,WINSOME.NS
Zenith Exports,ZENITHEXPO.NS
Aarvee Denims,AARVEEDEN.NS
Vardhman Acrylics,VARDHACRLC.NS
AI Champdany,AICHAMP.NS
Alok Industries,ALOKTEXT.NS
Alps Industries,ALPSINDUS.NS
Ambika Cotton,AMBIKCO.NS
Bannari Amman,BASML.NS
Amit Spinning,ASIL.NS
Eurotex Industries,EUROTEXIND.NS
Sutlej Textiles,SUTLEJTEX.NS
Welspun Investments,WELINV.NS
E-Land Apparel,ELAND.NS
Arvind Limited,ARVIND.NS
Arrow Textiles,ARROWTEX.NS
Gillanders Arbuthnot,GILLANDERS.NS
Ashima Limited,ASHIMASYN.NS
AYM Syntex,AYMSYNTEX.NS
Birla Cotsyn,BIRLACOT.NS
The Bombay,BOMDYEING.NS
BSL Limited,BSL.NS
Century Enka,CENTENKA.NS
CIL Nova,CNOVAPETRO.NS
The Indian,INDIANCARD.NS
DCM Limited,DCM.NS
Nandan Denim,NDL.NS
Donear Industries,DONEAR.NS
Eastern Silk,EASTSILK.NS
Pioneer Embroideries,PIONEEREMB.NS
Nagreeka Exports,NAGREEKEXP.NS
Orbit Exports,ORBTEXP.NS
Sarla Performance,SARLAPOLY.NS
Filatex India,FILATEX.NS
Garden Silk,GARDENSILK.NS
Gangotri Textiles,GANGOTRI.NS
Garware-Wall Ropes,GARWALLROP.NS
Ginni Filaments,GINNIFILA.NS
STL Global,SGL.NS
GTN Textiles,GTNTEX.NS
Hanung Toys,HANUNG.NS
Hind Syntex,HINDSYNTEX.NS
Himatsingka Seide,HIMATSEIDE.NS
Lambodhara Textiles,LAMBODHARA.NS
Malwa Cotton,MALWACOTT.NS
Precot Meridian,PRECOT.NS
Suryajyoti Spinning,SURYAJYOTI.NS
Morarjee Textiles,MORARJEE.NS
Mohit Industries,MOHITIND.NS
Nakoda Limited,NAKODA.NS
Nahar Spinning,NAHARSPING.NS
Nahar Industrial,NAHARINDUS.NS
Nitin Spinners,NITINSPIN.NS
Maral Overseas,MARALOVER.NS
Pradip Overseas,PRADIP.NS
Patspin India,PATSPINLTD.NS
Paras Petrofils,PARASPETRO.NS
Vardhman Polytex,VARDMNPOLY.NS
Visagar Polytex,VIVIDHA.NS
Shekhawati Poly-Yarn,SPYL.NS
Rajvir Industries,RAJVIR.NS
Raj Rayon,RAJRAYON.NS
Raymond Limited,RAYMOND.NS
Indo Rama,INDORAMA.NS
RSWM Limited,RSWM.NS
The Ruby,RUBYMILLS.NS
Sangam (India),SANGAMIND.NS
Shiva Texyarn,SHIVTEX.NS
Siyaram Silk,SIYSIL.NS
Standard Industries,SIL.NS
Soma Textiles,SOMATEX.NS
Spentex Industries,SPENTEX.NS
SRF Limited,SRF.NS
STI India,STINDIA.NS
Sumeet Industries,SUMEETINDS.NS
Super Spinning,SUPERSPIN.NS
Suryalakshmi Cotton,SURYALAXMI.NS
Supreme Tex,SUPREMETEX.NS
Swan Energy,SWANENERGY.NS
Banswara Syntex,BANSWRAS.NS
T.T. Limited,TTL.NS
Mayur Uniquoters,MAYURUNIQ.NS
Vardhman Textiles,VTL.NS
Weizmann Limited,WEIZMANIND.NS
Salona Cotspin,SALONACOT.NS
Trident Limited,TRIDENT.NS
VST Industries,VSTIND.NS
Golden Tobacco,GOLDENTOBC.NS
Godfrey Phillips,GODFRYPHLP.NS
ITC Limited,ITC.NS
VRL Logistics,VRLLOG.NS
Ganesha Ecosphere,GANECOS.NS
VA Tech,WABAG.NS
Bharti Infratel,INFRATEL.NS
Idea Cellular,IDEA.NS
OnMobile Global,ONMOBILE.NS
Tata Teleservices,TTML.NS
Tata Communications,TATACOMM.NS
Mahanagar Telephone,MTNL.NS
Nu Tek,NUTEK.NS
Reliance Communications,RCOM.NS
