NCC Limited,NCC.NS
Om Metals,OMMETALS.NS
PBA Infrastructure,PBAINFRA.NS
Petron Engineering,PETRONENGG.NS
Power Mech,POWERMECH.NS
Puravankara Limited,PURVA.NS
Simplex Projects,SIMPLEX.NS
VKS Projects,VKSPL.NS
Pratibha Industries,PRATIBHA.NS
Prakash Constrowell,PRAKASHCON.NS
Ramky Infrastructure,RAMKY.NS
Reliance Industrial,RIIL.NS
RPP Infra,RPPINFRA.NS
Simplex Infrastructures,SIMPLEXINF.NS
Skipper Limited,SKIPPER.NS
SKIL Infrastructure,SKIL.NS
SPML Infra,SPMLINFRA.NS
Supreme Infrastructure,SUPREMEINF.NS
Tarmat Limited,TARMAT.NS
Tantia Constructions,TANTIACONS.NS
Unity Infraprojects,UNITY.NS
Walchandnagar Industries,WALCHANNAG.NS
Engineers India,ENGINERSIN.NS
Technofab Engineering,TECHNOFAB.NS
Sadbhav Infrastructure,SADBHIN.NS
Madhucon Projects,MADHUCON.NS
Shirpur Gold,SHIRPUR-G.NS
REI Six,REISIXTEN.NS
IRB Infrastructure,IRB.NS
ARSS Infrastructure,ARSSINFRA.NS
Atlanta Limited,ATLANTA.NS
Gammon Infrastructure,GAMMNINFRA.NS
GMR Infrastructure,GMRINFRA.NS
IL&FS Transportation,IL&FSTRANS.NS
Jaypee Infratech,JPINFRATEC.NS
MEP Infrastructure,MEP.NS
PNC Infratech,PNCINFRA.NS
La Opala,LAOPALA.NS
Blue Star,BLUESTARCO.NS
PIL ITALICA,PILITA.NS
JIK Industries,JIKIND.NS
Orient Paper,ORIENTPPR.NS
TTK Prestige,TTKPRESTIG.NS
Rushil Décor,RUSHIL.NS
Apollo Hospitals,APOLLOHOSP.NS
Fortis Healthcare,FORTIS.NS
HealthCare Global,HCG.NS
Narayana Hrudayalaya,NH.NS
Indraprastha Medical,INDRAMEDCO.NS
PTL Enterprises,PTL.NS
Oil India,OIL.NS
SVOGL Oil,SVOGL.NS
Hindustan Oil,HINDOILEXP.NS
Selan Exploration,SELAN.NS
Ramkrishna Forgings,RKFORGE.NS
LGB Forge,LGBFORGE.NS
Universal Cables,UNIVCABLES.NS
Kothari Products,KOTHARIPRO.NS
Hindustan Zinc,HINDZINC.NS
Adani Enterprises,ADANIENT.NS
Metkore Alloys,METKORE.NS
Ashapura Minechem,ASHAPURMIN.NS
Impex Ferro,IMPEXFERRO.NS
Gujarat Mineral,GMDCLTD.NS
Gujarat NRE,GUJNRECOKE.NS
Resurgere Mines,RMMIL.NS
MOIL Limited,MOIL.NS
20 Microns,20MICRONS.NS
MMTC Limited,MMTC.NS
The State,STCINDIA.NS
The Orissa,ORISSAMINE.NS
Vedanta Limited,VEDL.NS
Greenearth Resources,AUSTRAL.NS
Coal India,COALINDIA.NS
Mercator Limited,MERCATOR.NS
KPIT Technologies,KPIT.NS
Tata Consultancy,TCS.NS
Tech Mahindra,TECHM.NS
Mindtree Limited,MINDTREE.NS
NIIT Limited,NIITLTD.NS
Onward Technologies,ONWARDTEC.NS
Quintegra Solutions,QUINTEGRA.NS
Wipro Limited,WIPRO.NS
Xchanging Solutions,XCHANGING.NS
Zensar Technologies,ZENSARTECH.NS
Accelya Kale,ACCELYA.NS
Accel Frontline,AFL.NS
Acropetal Technologies,ACROPETAL.NS
Allied Digital,ADSL.NS
Intellect Design,INTELLECT.NS
Cambridge Technology,CTE.NS
CyberTech Systems,CYBERTECH.NS
Cyient Limited,CYIENT.NS
Dynacons Systems,DSSL.NS
Nucleus Software,NUCLEUS.NS
FCS Software,FCSSOFT.NS
Genesys International,GENESYS.NS
Sphere Global,SPHEREGSL.NS
Goldstone Technologies,GOLDTECH.NS
STG Lifecare,SOFTTECHGR.NS
GSS Infotech,GSS.NS
GTL Limited,GTL.NS
HCL Technologies,HCLTECH.NS
Hexaware Technologies,HEXAWARE.NS
IZMO Limited,IZMO.NS
TAKE Solutions,TAKE.NS
Mastek Limited,MASTEK.NS
MphasiS Limited,MPHASIS.NS
NIIT Technologies,NIITTECH.NS
Omnitech Infosolutions,OMNITECH.NS
Palred Technologies,PALRED.NS
Panoramic Universal,PANORAMUNI.NS
Ramco Systems,RAMCOSYS.NS
Redington (India),REDINGTON.NS
Rolta India,ROLTA.NS
Saksoft Limited,SAKSOFT.NS
Infinite Computer,INFINITE.NS
Tricom India,TRICOM.NS
MPS Infotecnics,VISESHINFO.NS
HOV Services,HOVS.NS
Infosys Limited,INFY.NS
3i Infotech,3IINFOTECH.NS
Info Edge,NAUKRI.NS
IntraSoft Technologies,ISFT.NS
Lycos Internet,LYCOS.NS
Net 4,NET4.NS
Almondz Global,ALMONDZ.NS
Weizmann Forex,WEIZFOREX.NS
VLS Finance,VLSFINANCE.NS
Onelife Capital,ONELIFECAP.NS
Aditya Birla,BIRLAMONEY.NS
CARE Ratings,CARERATING.NS
BLB Limited,BLBLIMITED.NS
Blue Chip,BLUECHIP.NS
DB (International),DBSTOCKBRO.NS
CRISIL Limited,CRISIL.NS
Dhunseri Investments,DHUNINV.NS
Dhunseri Petrochem,DPL.NS
Edelweiss Financial,EDELWEISS.NS
Emkay Global,EMKAY.NS
Religare Enterprises,RELIGARE.NS
Consolidated Finvest,CONSOFINVT.NS
JM Financial,JMFINANCIL.NS
HB Stockholdings,HBSTOCK.NS
Indiabulls Ventures,IBVENTURES.NS
