Syndicate Bank,SYNDIBANK.NS
UCO Bank,UCOBANK.NS
Vijaya Bank,VIJAYABANK.NS
Corporation Bank,CORPBANK.NS
Dena Bank,DENABANK.NS
Housing Development,HDFC.NS
LIC Housing,LICHSGFIN.NS
PTC India,PFS.NS
Dewan Housing,DHFL.NS
Indiabulls Housing,IBULHSGFIN.NS
GIC Housing,GICHSGFIN.NS
SREI Infrastructure,SREINFRA.NS
Transwarranty Finance,TFL.NS
Can Fin,CANFINHOME.NS
GRUH Finance,GRUH.NS
Repco Home,REPCOHOME.NS
DQ Entertainment,DQE.NS
Aban Offshore,ABAN.NS
Jindal Drilling,JINDRILL.NS
Alphageo (India),ALPHAGEO.NS
Deep Industries,DEEPIND.NS
Dolphin Offshore,DOLPHINOFF.NS
GOL Offshore,GTOFFSHORE.NS
Oil Country,OILCOUNTUB.NS
Bharat Petroleum,BPCL.NS
Reliance Industries,RELIANCE.NS
Tide Water,TIDEWATER.NS
Mangalore Refinery,MRPL.NS
GP Petroleums,GULFPETRO.NS
Gulf Oil,GULFOILLUB.NS
Indian Oil,IOC.NS
Petronet LNG,PETRONET.NS
Nagarjuna Oil,NAGAROIL.NS
Panama Petrochem,PANAMAPET.NS
Chennai Petroleum,CHENNPETRO.NS
Uflex Limited,UFLEX.NS
Ess Dee,ESSDEE.NS
AMD Industries,AMDIND.NS
Antarctica Limited,ANTGRAPHIC.NS
Emmbi Industries,EMMBI.NS
Nahar Poly,NAHARPOLY.NS
Hindusthan National,HINDNATGLS.NS
Huhtamaki PPL,PAPERPROD.NS
Shree Rama,SHREERAMA.NS
Orient Press,ORIENTLTD.NS
Paramount Printpackaging,PARAPRINT.NS
Pudumjee Paper,PDMJEPAPER.NS
Pearl Polymers,PEARLPOLY.NS
Polyplex Corporation,POLYPLEX.NS
Radha Madhav,RMCL.NS
Time Technoplast,TIMETECHNO.NS
Cosmo Films,COSMOFILMS.NS
JK Paper,JKPAPER.NS
Magnum Ventures,MAGNUM.NS
Shree Rama,RAMANEWS.NS
West Coast,WSTCSTPAPR.NS
Seshasayee Paper,SESHAPAPER.NS
Ballarpur Industries,BALLARPUR.NS
Genus Paper,GENUSPAPER.NS
International Paper,IPAPPM.NS
Malu Paper,MALUPAPER.NS
Pudumjee Pulp,PDUMJEPULP.NS
Sundaram Multi,SUNDARAM.NS
Tamil Nadu,TNPL.NS
Rainbow Papers,RAINBOWPAP.NS
Servalakshmi Paper,SERVALL.NS
Star Paper,STARPAPER.NS
Ruchira Papers,RUCHIRA.NS
Shreyans Industries,SHREYANIND.NS
Dabur India,DABUR.NS
Hindustan Unilever,HINDUNILVR.NS
Jyothy Laboratories,JYOTHYLAB.NS
Zydus Wellness,ZYDUSWELL.NS
Procter &,PGHH.NS
Bajaj Corp,BAJAJCORP.NS
Emami Limited,EMAMILTD.NS
Gillette India,GILLETTE.NS
JHS Svendgaard,JHS.NS
Kaya Limited,KAYA.NS
Marico Limited,MARICO.NS
Colgate-Palmolive (India),COLPAL.NS
Bajaj Finserv,BAJAJFINSV.NS
Oberoi Realty,OBEROIRLTY.NS
Ajmera Realty,AJMERA.NS
Anant Raj,ANANTRAJ.NS
Ansal Housing,ANSALHSG.NS
Cineline India,CINELINE.NS
Emami Infrastructure,EMAMIINFRA.NS
ICRA Limited,ICRA.NS
IIFL Holdings,IIFL.NS
Keynote Corporate,KEYCORPSER.NS
Khandwala Securities,KHANDSE.NS
Prime Securities,PRIMESECU.NS
McDowell Holdings,MCDHOLDING.NS
Inventure Growth,INVENTURE.NS
Summit Securities,SUMMITSEC.NS
Tata Investment,TATAINVEST.NS
Indo Thai,INDOTHAI.NS
Ausom Enterprise,AUSOMENT.NS
Goenka Diamond,GOENKA.NS
Zodiac-JRD-MKJ Limited,ZODJRDMKJ.NS
PC Jeweller,PCJEWELLER.NS
Tara Jewels,TARAJEWELS.NS
Vaibhav Global,VAIBHAVGBL.NS
Tribhovandas Bhimji,TBZ.NS
Rajesh Exports,RAJESHEXPO.NS
Shree Ganesh,SGJHL.NS
Lypsa Gems,LYPSAGEMS.NS
Gitanjali Gems,GITANJALI.NS
Goldiam International,GOLDIAM.NS
Renaissance Jewellery,RJL.NS
Thangamayil Jewellery,THANGAMAYL.NS
KDDL Limited,KDDL.NS
Titan Company,TITAN.NS
Shrenuj &,SHRENUJ.NS
SRS Limited,SRSLTD.NS
Surana Corporation,SURANACORP.NS
Max Financial,MFSL.NS
Royal Orchid,ROHLTD.NS
Hotel Leelaventure,HOTELEELA.NS
Advani Hotels,ADVANIHOTR.NS
Asian Hotels,AHLWEST.NS
Asian Hotels,AHLEAST.NS
TGB Banquets,TGBHOTELS.NS
Apollo Sindoori,APOLSINHOT.NS
EIH Associated,EIHAHOTELS.NS
Asian Hotels,ASIANHOTNR.NS
Blue Coast,BLUECOAST.NS
The Byke,THEBYKE.NS
EIH Limited,EIHOTEL.NS
TAJGVK Hotels,TAJGVK.NS
Kamat Hotels,KAMATHOTEL.NS
Oriental Hotels,ORIENTHOT.NS
Viceroy Hotels,VICEROY.NS
The Indian,INDHOTEL.NS
Uniply Industries,UNIPLY.NS
Archidply Industries,ARCHIDPLY.NS
Century Plyboards,CENTURYPLY.NS
Mangalam Timber,MANGTIMBER.NS
Wendt (India),WENDT.NS
NRB Industrial,NIBL.NS
ESAB India,ESABINDIA.NS
Lakshmi Precision,LAKPRE.NS
Sterling Tools,STERTOOLS.NS
Technocraft Industries,TIIL.NS
Jet Airways,JETAIRWAYS.NS
InterGlobe Aviation,INDIGO.NS
Cairn India,CAIRN.NS
Oil and,ONGC.NS
Opto Circuits,OPTOCIRCUI.NS
Poly Medicure,POLYMED.NS
Vimta Labs,VIMTALABS.NS
Dr. Lal,LALPATHLAB.NS
Zenith Birla,ZENITHBIR.NS
Nelcast Limited,NELCAST.NS
Alicon Castalloy,ALICON.NS
Arcotech Limited,ARCOTECH.NS
Bil Energy,BILENERGY.NS
Pennar Engineered,PENPEBS.NS
Mahindra CIE,MAHINDCIE.NS
Electrotherm (India),ELECTHERM.NS
Rohit Ferro-Tech,ROHITFERRO.NS
Shree Ganesh,SGFL.NS
MM Forgings,MMFL.NS
Metalyst Forgings,METALFORGE.NS
Hilton Metal,HILTON.NS
Gandhi Special,GANDHITUBE.NS
